business_id,name,date,score,Address
1-32000,cue,06/19/2014 12:00:00 AM,96,"13700 HIGHWAY 9 STE 300
MILTON, GA 30004
(34.11445666100008, -84.26929859499995)"
FSP-060-001693,1 Kept,05/02/2014 12:00:00 AM,100,"2293 PEACHTREE RD NE STE B
ATLANTA, GA 30309
(33.817046428000026, -84.38957880999999)"
FSP-060-001631,10,06/24/2014 12:00:00 AM,88,"990 PIEDMONT AVE
ATLANTA, GA 30309
(33.78155030900007, -84.38054202099994)"
FSP-060-001631,10,01/02/2014 12:00:00 AM,91,"990 PIEDMONT AVE
ATLANTA, GA 30309
(33.78155030900007, -84.38054202099994)"
FSP-060-001991,10 Degrees South,05/12/2014 12:00:00 AM,99,"4183 ROSWELL RD
ATLANTA, GA 30342
(33.86843601400005, -84.38103045199995)"
(1-4),103 West Lounge,12/12/2014 12:00:00 AM,100,"103 WEST PACES FERRY RD
ATLANTA, GA 30318
(33.79050139100008, -84.44102927399996)"
(1-4),103 West Lounge,02/19/2014 12:00:00 AM,98,"103 WEST PACES FERRY RD
ATLANTA, GA 30318
(33.79050139100008, -84.44102927399996)"
(1-5),103 West Restaurant,12/22/2014 12:00:00 AM,100,"103 WEST PACES FERRY RD
ATLANTA, GA 30318
(33.79050139100008, -84.44102927399996)"
(1-5),103 West Restaurant,12/12/2014 12:00:00 AM,83,"103 WEST PACES FERRY RD
ATLANTA, GA 30318
(33.79050139100008, -84.44102927399996)"
(1-5),103 West Restaurant,02/19/2014 12:00:00 AM,93,"103 WEST PACES FERRY RD
ATLANTA, GA 30318
(33.79050139100008, -84.44102927399996)"
1-916,112 MegaPlex The Crowes Nest,12/22/2014 12:00:00 AM,95,"5495 OLD NATIONAL HWY STE B-13
COLLEGE PARK, GA 30349
(33.60601337300005, -84.47158447799995)"
1-916,112 MegaPlex The Crowes Nest,05/02/2014 12:00:00 AM,99,"5495 OLD NATIONAL HWY STE B-13
COLLEGE PARK, GA 30349
(33.60601337300005, -84.47158447799995)"
1-916,112 MegaPlex The Crowes Nest,04/25/2014 12:00:00 AM,66,"5495 OLD NATIONAL HWY STE B-13
COLLEGE PARK, GA 30349
(33.60601337300005, -84.47158447799995)"
(2-31768),180 Degrees Kitchen,09/18/2014 12:00:00 AM,98,"1300 JOSEPH E. BOONE BLVD
ATLANTA, GA 30314
(33.76351364200008, -84.43037014399994)"
(2-31768),180 Degrees Kitchen,06/24/2014 12:00:00 AM,91,"1300 JOSEPH E. BOONE BLVD
ATLANTA, GA 30314
(33.76351364200008, -84.43037014399994)"
(1-13),1st Methodist Church,02/10/2014 12:00:00 AM,96,"360 PEACHTREE ST N
ATLANTA, GA 30308
(33.76440666000008, -84.38585749699996)"
1-31657,2 Mato,05/16/2014 12:00:00 AM,97,"200 PIEDMONT AVE
ATLANTA, GA 30334
(33.74589121900004, -84.38768998699999)"
1-31004,255 Peters St Lounge,06/19/2014 12:00:00 AM,99,"255 PETERS ST
ATLANTA, GA 30313
(33.74756257900003, -84.40161200699998)"
1-31004,255 Peters St Lounge,06/11/2014 12:00:00 AM,77,"255 PETERS ST
ATLANTA, GA 30313
(33.74756257900003, -84.40161200699998)"
1-26637,285 West Soul Food,12/09/2014 12:00:00 AM,85,"2636 MARTIN LUTHER KING JR. DR STE 10
ATLANTA, GA 30311
(33.753837205000025, -84.47398515099997)"
1-26637,285 West Soul Food,05/21/2014 12:00:00 AM,98,"2636 MARTIN LUTHER KING JR. DR STE 10
ATLANTA, GA 30311
(33.753837205000025, -84.47398515099997)"
1-26637,285 West Soul Food,05/19/2014 12:00:00 AM,78,"2636 MARTIN LUTHER KING JR. DR STE 10
ATLANTA, GA 30311
(33.753837205000025, -84.47398515099997)"
1-32045,2nd Floor Atrium,07/10/2014 12:00:00 AM,100,"250 SPRING ST
ATLANTA, GA 30303
(33.76142109800003, -84.38905392699996)"
1-32045,2nd Floor Atrium,01/09/2014 12:00:00 AM,100,"250 SPRING ST
ATLANTA, GA 30303
(33.76142109800003, -84.38905392699996)"
FSP-060-000978,3 Brothers Catering and EventsLLC,10/08/2014 12:00:00 AM,95,"11670 JONES BRIDGE RD STE A
ALPHARETTA, GA 30005
(34.06507385800006, -84.21244714999995)"
FSP-060-000437,3376 Peachtree Road Atlanta Hotel LL IncEmployee Kitchen,12/12/2014 12:00:00 AM,95,"3376 PEACHTREE RD
ATLANTA, GA 30326
(33.848794019000024, -84.36621685399996)"
FSP-060-000437,3376 Peachtree Road Atlanta Hotel LL IncEmployee Kitchen,05/07/2014 12:00:00 AM,87,"3376 PEACHTREE RD
ATLANTA, GA 30326
(33.848794019000024, -84.36621685399996)"
